id;nombre_cliente;identificacion;edad;fecha_ingreso
1;SDD bypassing;Algerian Dinar Fantastic Fresh Salad;70624;2019-09-09
2;Avon;Planner;37427;2019-09-08
3;SAS User-centric;Planner navigate repurpose;8350;2019-09-09
4;mesh system Triple-buffered;Cotton;49262;2019-09-09
5;grow;Handmade Wooden Cheese Fresh;64921;2019-09-08
6;Naira Versatile seize;asymmetric EXE;22359;2019-09-09
7;auxiliary Strategist Arizona;Lead;52770;2019-09-08
8;Senior Optional Yemeni Rial;Central African Republic;62939;2019-09-09
9;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips;95041;2019-09-09
10;brand Generic B2B;olive;46369;2019-09-09
