id;nombre_empleado;usuario;contrasena;telefono
1;Persevering analyzing;Engineer Architect;Beauty dynamic schemas;Pound Sterling Keyboard
2;Licensed Usability models;Personal Loan Account markets;SCSI Aruba Chair;drive online
3;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;SMS
4;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response
5;white SMTP;Checking Account global Steel;Borders Springs connecting;SAS
6;Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless
7;withdrawal Jamaica;International;Luxembourg Spurs;empower Home Loan Account SMS
8;back-end Via indexing;Business-focused Canyon Orchestrator;frictionless orchid;Future-proofed Awesome
9;Creek;Shirt Metal;Mouse Rupiah;Human Mission
10;Officer Savings Account Automated;Pants even-keeled Chair;Brazil;Island cyan
